Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,8T18 *,446.093750,,0.000000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
1,1-0,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,2-0,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,3-0,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,4-0,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,5-0,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,6-0,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,7-0,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,8-0 !,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,9-0,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,10-0,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,11-0,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,12-0,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,13-0,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,14-0,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,15-0,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,16-0,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,1-1,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
18,1-2CHAS,446.006250,,0.000000,TSQL,71.9,71.9,023,NN,NFM,5.00,,,,,,
19,1-9ROUT,446.006250,,0.000000,TSQL,91.5,91.5,023,NN,NFM,5.00,,,,,,
20,1-12URG,446.006250,,0.000000,TSQL,100.0,100.0,023,NN,NFM,5.00,,,,,,
21,2-2,446.018750,,0.000000,TSQL,71.9,71.9,023,NN,NFM,5.00,,,,,,
22,2-8CAMC,446.018750,,0.000000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
23,3-3SR1,446.031250,,0.000000,TSQL,74.4,74.4,023,NN,NFM,5.00,,,,,,
24,3-13SR2,446.031250,,0.000000,TSQL,103.5,103.5,023,NN,NFM,5.00,,,,,,
25,3-23SR3,446.031250,,0.000000,TSQL,146.2,146.2,023,NN,NFM,5.00,,,,,,
26,3-33SR!,446.031250,,0.000000,TSQL,210.7,210.7,023,NN,NFM,5.00,,,,,,
27,4-4 4X4,446.043750,,0.000000,TSQL,77.0,77.0,023,NN,NFM,5.00,,,,,,
28,4-14DRO,446.043750,,0.000000,TSQL,107.2,107.2,023,NN,NFM,5.00,,,,,,
29,5-5SCOU,446.056250,,0.000000,TSQL,79.7,79.7,023,NN,NFM,5.00,,,,,,
30,6-6 R1,446.068750,,0.000000,TSQL,82.5,82.5,023,NN,NFM,5.00,,,,,,
31,6-16R2,446.068750,,0.000000,TSQL,114.8,114.8,023,NN,NFM,5.00,,,,,,
32,6-26R3,446.068750,,0.000000,TSQL,162.2,162.2,023,NN,NFM,5.00,,,,,,
33,6-36R4,446.068750,,0.000000,TSQL,233.6,233.6,023,NN,NFM,5.00,,,,,,
34,7-7 RRM,446.081250,,0.000000,TSQL,85.4,85.4,023,NN,NFM,5.00,,,,,,
35,8-8  !,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
36,8-18 !*,446.093750,,0.000000,TSQL,123.0,123.0,023,NN,NFM,5.00,,,,,,
37,VFB1 !*,169.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,VFB2,169.512500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
39,VFB3SRV,169.525000,,0.000000,Tone,210.7,88.5,023,NN,NFM,5.00,,,,,,
40,VFB4PAK,169.537500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
41,VFB5,169.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
42,VFB6REL,169.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
43,VFB7 M,169.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
44,M09CAPI,156.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
45,M10FLUV,156.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
46,M11,156.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,M12,156.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,M13INFO,156.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,M14PLAD,156.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,M15PLA,156.750000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,M16 !*,156.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,M17,156.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,M18ECLU,156.900000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,M67DEG,156.375000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
55,M68DEG,156.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
56,M69DEG,156.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,M70ASN,156.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
58,M71DEG,156.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
59,M72DEG,156.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
60,M73DEG,156.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
61,M74DEG,156.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
62,M77DEG,156.875000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
63,FFVL !*,143.987500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
64,CH E !*,161.300000,,0.000000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
65,ADRAS1,145.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
66,ADRAS2,145.462500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
67,ADRAS3,145.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
68,LP18 !,433.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
69,LP20URG,433.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
70,V RA !,145.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
71,ISS VHF,145.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
72,ISS UHF,437.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,ISS RPT,437.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,RAURG1U,432.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,RAURG2U,432.537500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,RAURG3U,432.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
